ID,date_start,date_end,chg_type,chg_conf
210,NA,NA,NA,NA
211,NA,NA,NA,NA
212,736146,736237,5,2
213,NA,NA,NA,NA
214,735294|737426,735385|737456,5|3,1|1
215,736330,736481,5,1
216,736269,736846,6,2
217,736696|737516,736726|737545,5|5,1|2
218,735447,735507,5,2
219,NA,NA,NA,NA
220,736116,736268,1,1
221,NA,NA,NA,NA
222,NA,NA,NA,NA
223,NA,NA,NA,NA
224,NA,NA,NA,NA
225,NA,NA,NA,NA
226,737426,737455,5,2
227,NA,NA,NA,NA
228,735812,735964,5,2
229,736421|737061,736695|737091,5|3,2|3
230,736877,737241,6,2
231,NA,NA,NA,NA
232,NA,NA,NA,NA
233,NA,NA,NA,NA
234,NA,NA,NA,NA
235,NA,NA,NA,NA
236,NA,NA,NA,NA
237,737365|737882,737394|737911,3|3,3|2
238,737334,737425,3,3
239,736482|736908,736511|737060,1|5,1|3
240,NA,NA,NA,NA
241,737061,737091,3,3
242,NA,NA,NA,NA
243,738035,738156,3,3
244,735447|735965,735599|736115,5|5,2|2
245,NA,NA,NA,NA
246,736146,736237,5,1
247,736877,736907,3,3
248,736085,736145,5,1
249,NA,NA,NA,NA
250,736055|736939|737912,736115|736999|737942,3|3|5,2|3|1
251,735965|736665,735995|736695,1|3,1|3
252,735325|735751,735354|735780,5|3,2|3
253,736421,736664,3,3
254,735781|736208|736816,735811|736450|736876,1|6|5,1|3|2
255,NA,NA,NA,NA
256,737395,737425,3,3
257,737061,737150,5,3
258,735690|737457,735750|737545,5|3,1|3
259,735266|736390,735385|736420,5|3,2|3
260,737151,737180,3,3
261,735751|737242,735842|737364,5|5,2|3
262,735720,735750,5,1
263,735751|736574|737973,735964|736754|738003,5|6|3,3|2|3
264,737395,737425,3,3
265,NA,NA,NA,NA
266,735659|736085,735689|736115,5|5,3|3
267,737426,738064,6,2
268,NA,NA,NA,NA
269,736635|737334,736785|737425,6|5,3|2
270,NA,NA,NA,NA
271,736816|737699,737060|737790,5|5,3|2
272,736390|737000,736420|737029,5|3,2|3
273,735781|736969,735872|736999,5|3,2|3
274,737426,737456,3,3
275,736847|737212|737638,736907|737241|737942,3|3|6,3|3|1
276,736390|736969,736420|737029,3|3,3|3
277,NA,NA,NA,NA
278,NA,NA,NA,NA
279,737395,737456,4,3
280,NA,NA,NA,NA
281,NA,NA,NA,NA
282,736238,736360,6,1
283,NA,NA,NA,NA
284,NA,NA,NA,NA
285,NA,NA,NA,NA
286,NA,NA,NA,NA
287,735965,735995,3,3
288,NA,NA,NA,NA
289,NA,NA,NA,NA
290,737822,737850,5,1
291,NA,NA,NA,NA
292,NA,NA,NA,NA
293,NA,NA,NA,NA
294,NA,NA,NA,NA
295,NA,NA,NA,NA
296,NA,NA,NA,NA
297,NA,NA,NA,NA
298,NA,NA,NA,NA
299,NA,NA,NA,NA
300,NA,NA,NA,NA
301,NA,NA,NA,NA
302,NA,NA,NA,NA
303,NA,NA,NA,NA
304,NA,NA,NA,NA
305,737120,737150,3,3
306,NA,NA,NA,NA
307,NA,NA,NA,NA
308,NA,NA,NA,NA
309,NA,NA,NA,NA
310,NA,NA,NA,NA
311,NA,NA,NA,NA
312,NA,NA,NA,NA
313,NA,NA,NA,NA
314,NA,NA,NA,NA
315,NA,NA,NA,NA
316,NA,NA,NA,NA
317,NA,NA,NA,NA
318,NA,NA,NA,NA
319,NA,NA,NA,NA
320,NA,NA,NA,NA
321,NA,NA,NA,NA
322,NA,NA,NA,NA
323,NA,NA,NA,NA
324,NA,NA,NA,NA
325,NA,NA,NA,NA
326,NA,NA,NA,NA
327,NA,NA,NA,NA
328,NA,NA,NA,NA
329,NA,NA,NA,NA
330,NA,NA,NA,NA
331,NA,NA,NA,NA
332,NA,NA,NA,NA
333,NA,NA,NA,NA
334,NA,NA,NA,NA
335,NA,NA,NA,NA
336,NA,NA,NA,NA
337,NA,NA,NA,NA
338,NA,NA,NA,NA
339,NA,NA,NA,NA
340,NA,NA,NA,NA
341,NA,NA,NA,NA
342,NA,NA,NA,NA
343,NA,NA,NA,NA
344,NA,NA,NA,NA
345,NA,NA,NA,NA
346,NA,NA,NA,NA
347,736939,737060,1,3
348,736939,736968,1,1
349,NA,NA,NA,NA
350,735781|737882,735964|738034,5|1,3|1
351,737851,737911,3,1
352,NA,NA,NA,NA
353,NA,NA,NA,NA
354,736755,736938,1,3
355,735812|736238|736635|737061,735872|736329|736785|737150,3|1|2|3,3|2|2|3
356,NA,NA,NA,NA
357,735781,736207,6,2
358,736939,737029,1,3
359,736939,736999,1,3
360,NA,NA,NA,NA
361,NA,NA,NA,NA
362,NA,NA,NA,NA
363,NA,NA,NA,NA
364,NA,NA,NA,NA
365,NA,NA,NA,NA
366,NA,NA,NA,NA
367,NA,NA,NA,NA
368,737577,737606,3,2
369,736177,736481,6,2
370,NA,NA,NA,NA
371,NA,NA,NA,NA
372,735539|735873|736390|736755|737212|737943,735568|736023|736420|736785|737241|738064,3|2|3|3|5|5,3|2|2|3|2|3
373,735751|736238|736604|737546|737882,735811|736329|736785|737576|738064,3|1|2|3|1,3|3|3|3|2
374,736939,736968,3,3
375,735325|735904|736939,735538|735964|736968,3|5|3,1|2|3
376,735294|735631|736238|737546,735507|735658|736268|737606,3|3|3|3,1|1|1|3
377,NA,NA,NA,NA
378,NA,NA,NA,NA
379,NA,NA,NA,NA
380,NA,NA,NA,NA
381,NA,NA,NA,NA
382,735690|736816,735964|736846,3|3,1|1
383,NA,NA,NA,NA
384,NA,NA,NA,NA
385,736055,736389,4,3
386,736024,736176,5,2
387,736055,736268,1,2
388,736116,736511,6,2
389,735781,735964,3,2
390,735781,735964,5,2
391,735781,735964,5,3
392,735781,736084,6,2
393,NA,NA,NA,NA
394,735781,736023,6,3
395,735781,735964,5,3
396,NA,NA,NA,NA
397,737334,737364,3,3
398,NA,NA,NA,NA
399,NA,NA,NA,NA
400,736604,736634,3,3
401,NA,NA,NA,NA
402,NA,NA,NA,NA
403,NA,NA,NA,NA
404,NA,NA,NA,NA
405,NA,NA,NA,NA
406,NA,NA,NA,NA
407,NA,NA,NA,NA
408,NA,NA,NA,NA
409,NA,NA,NA,NA
410,737304,737364,3,2
411,NA,NA,NA,NA
412,NA,NA,NA,NA
413,NA,NA,NA,NA
414,NA,NA,NA,NA
415,NA,NA,NA,NA
416,NA,NA,NA,NA
417,NA,NA,NA,NA
418,NA,NA,NA,NA
419,736969,736999,3,3
420,NA,NA,NA,NA
421,736877,736938,3,3
422,NA,NA,NA,NA
423,737546,737942,6,2
424,NA,NA,NA,NA
425,737882,737911,5,1
426,737212,737333,3,3
427,NA,NA,NA,NA
428,NA,NA,NA,NA
429,NA,NA,NA,NA
430,NA,NA,NA,NA
431,735781,735964,5,3
432,NA,NA,NA,NA
433,NA,NA,NA,NA
434,NA,NA,NA,NA
435,737577,737668,5,2
436,737212,737576,6,3
437,NA,NA,NA,NA
438,NA,NA,NA,NA
439,NA,NA,NA,NA
440,736816,736876,3,2
441,NA,NA,NA,NA
442,737151,737211,3,3
443,NA,NA,NA,NA
444,NA,NA,NA,NA
445,736238,736329,3,2
446,NA,NA,NA,NA
447,NA,NA,NA,NA
448,NA,NA,NA,NA
449,736330,736360,3,3
450,736238,736329,3,2
451,NA,NA,NA,NA
452,736116,736237,3,2
453,735720,736115,6,2
454,736116,736329,3,2
455,736512,736542,3,3
456,736512,736542,5,1
457,NA,NA,NA,NA
458,NA,NA,NA,NA
459,NA,NA,NA,NA
460,NA,NA,NA,NA
461,735478,735507,5,1
462,NA,NA,NA,NA
463,NA,NA,NA,NA
464,NA,NA,NA,NA
465,NA,NA,NA,NA
466,NA,NA,NA,NA
467,NA,NA,NA,NA
468,NA,NA,NA,NA
469,NA,NA,NA,NA
470,NA,NA,NA,NA
471,NA,NA,NA,NA
472,NA,NA,NA,NA
473,NA,NA,NA,NA
474,NA,NA,NA,NA
475,736512,736938,6,2
476,NA,NA,NA,NA
477,NA,NA,NA,NA
478,NA,NA,NA,NA
479,NA,NA,NA,NA
480,NA,NA,NA,NA
481,NA,NA,NA,NA
482,NA,NA,NA,NA
483,735600,735689,3,3
484,NA,NA,NA,NA
485,737000,737150,6,3
486,736969,737150,6,3
487,736786,736938,5,2
488,NA,NA,NA,NA
489,NA,NA,NA,NA
490,NA,NA,NA,NA
491,736146,736329,5,1
492,NA,NA,NA,NA
493,NA,NA,NA,NA
494,NA,NA,NA,NA
495,736330,736573,3,2
496,NA,NA,NA,NA
497,NA,NA,NA,NA
498,NA,NA,NA,NA
499,NA,NA,NA,NA
500,NA,NA,NA,NA
501,735843|736696,735964|736876,5|5,1|1
502,737791,737821,3,3
503,NA,NA,NA,NA
504,NA,NA,NA,NA
505,NA,NA,NA,NA
506,NA,NA,NA,NA
507,736024,736695,6,1
508,NA,NA,NA,NA
509,NA,NA,NA,NA
510,NA,NA,NA,NA
511,NA,NA,NA,NA
512,NA,NA,NA,NA
513,NA,NA,NA,NA
514,NA,NA,NA,NA
515,NA,NA,NA,NA
516,736755,736876,3,3
517,NA,NA,NA,NA
518,NA,NA,NA,NA
519,NA,NA,NA,NA
520,NA,NA,NA,NA
521,NA,NA,NA,NA
522,NA,NA,NA,NA
523,NA,NA,NA,NA
524,NA,NA,NA,NA
525,NA,NA,NA,NA
526,NA,NA,NA,NA
527,NA,NA,NA,NA
528,NA,NA,NA,NA
529,NA,NA,NA,NA
530,NA,NA,NA,NA
531,NA,NA,NA,NA
532,NA,NA,NA,NA
533,NA,NA,NA,NA
534,735720,735842,3,3
535,737607,737790,5,2
536,NA,NA,NA,NA
537,737092,737119,3,3
538,737092,737241,5,2
539,738065,738095,3,2
540,NA,NA,NA,NA
541,NA,NA,NA,NA
542,NA,NA,NA,NA
543,NA,NA,NA,NA
544,NA,NA,NA,NA
545,736604,736634,3,3
546,NA,NA,NA,NA
547,736604,736634,3,3
548,NA,NA,NA,NA
549,736421,736450,3,3
550,736512,737425,6,2
551,735659,735719,3,3
552,NA,NA,NA,NA
553,737030,737060,3,3
554,NA,NA,NA,NA
555,NA,NA,NA,NA
556,NA,NA,NA,NA
557,736421|737485,736695|737515,5|3,2|3
558,737151,737241,5,2
559,NA,NA,NA,NA
560,735812,735872,3,3
561,735781,735811,3,2
562,736421,736695,5,2
563,736085,736237,5,3
564,NA,NA,NA,NA
565,NA,NA,NA,NA
566,NA,NA,NA,NA
567,NA,NA,NA,NA
568,NA,NA,NA,NA
569,736208,736420,6,2
570,737061,737091,3,2
571,737457,737484,3,3
572,NA,NA,NA,NA
573,736512,736846,6,2
574,NA,NA,NA,NA
575,NA,NA,NA,NA
576,736635,736664,3,3
577,NA,NA,NA,NA
578,736635,736664,3,3
579,NA,NA,NA,NA
580,NA,NA,NA,NA
581,737030,737060,5,2
582,NA,NA,NA,NA
583,NA,NA,NA,NA
584,NA,NA,NA,NA
585,NA,NA,NA,NA
586,737120,737211,3,3
587,735539,735568,3,3
588,NA,NA,NA,NA
589,NA,NA,NA,NA
590,735904,735933,3,3
591,NA,NA,NA,NA
592,NA,NA,NA,NA
593,735873,736145,4,3
594,NA,NA,NA,NA
